Transaction Date,Account,Transaction Description,Counterparty,Amount $,Credit/Debit,Opposite Account Number,Country,FATF Country Risk Rating
2022-01-01,123457,ACH Out,Rockwell Automation,5281.63,Debit,,,
2022-01-01,123457,Cash Out,,3112.58,Debit,,,
2022-01-01,123457,ACH In,Caterpillar,1602.48,Credit,,,
2022-01-01,123457,Cash Out,,6539.31,Debit,,,
2022-01-01,123456,Internal Transfer Out,,398.15,Credit,123457,,
2022-01-01,123456,Internal Transfer Out,,5118.47,Credit,123457,,
2022-01-01,123457,ACH In,Emerson Electric,8946.18,Credit,,,
2022-01-01,123457,ACH In,Parker-Hannifin,978.53,Credit,,,
2022-01-01,123457,Domestic Wire In,Caterpillar,294.82,Credit,,,
2022-01-01,123457,Cash In,,8394.13,Credit,,,
2022-01-01,123457,Internal Transfer In,,3807.32,Credit,,,
2022-01-01,123457,International Wire Out,Parker-Hannifin,3115.42,Credit,,China,High
2022-01-01,123457,Cash Out,,157.9,Debit,,,
2022-01-01,123456,Internal Transfer Out,,4261.83,Credit,123457,,
2022-01-01,123457,Cash Out,,1930.05,Debit,,,
2022-01-01,123457,ACH Out,ITT Inc.,3071.06,Debit,,,
2022-01-01,123457,International Wire Out,3M,7788.77,Credit,,China,High
2022-01-01,123456,Internal Transfer Out,,1497.06,Credit,123457,,
2022-01-01,123457,Domestic Wire In,ITT Inc.,7155.1,Credit,,,
2022-01-01,123457,International Wire In,Honeywell,7261.45,Credit,,USA,Low
2022-01-01,123457,Cash In,,9845.19,Credit,,,
2022-01-01,123457,Domestic Wire In,Cummins,8426.25,Credit,,,
2022-01-01,123457,ACH In,Emerson Electric,8229.71,Credit,,,
2022-01-01,123456,Internal Transfer Out,,8551.02,Credit,123457,,
2022-01-01,123457,Cash In,,801.75,Credit,,,
2022-01-01,123457,Internal Transfer In,,9027.1,Credit,,,
2022-01-01,123457,Domestic Wire Out,Cummins,3469.59,Debit,,,
2022-01-01,123457,Cash In,,1821.49,Credit,,,
2022-01-01,123457,Domestic Wire Out,Ingersoll Rand,7332.97,Debit,,,
2022-01-01,123456,Internal Transfer Out,,6036.72,Credit,123457,,
2022-01-01,123457,International Wire In,Dover Corporation,4894.97,Credit,,India,High
2022-01-01,123457,Cash Out,,3609.53,Debit,,,
2022-01-01,123457,ACH Out,Illinois Tool Works,4550.28,Debit,,,
2022-01-01,123457,Domestic Wire Out,ITT Inc.,4561.56,Debit,,,
2022-01-01,123457,ACH Out,Caterpillar,1385.52,Debit,,,
2022-01-01,123457,Cash Out,,7978.33,Debit,,,
2022-01-01,123457,Cash In,,739.57,Credit,,,
2022-01-01,123456,Internal Transfer Out,,9753.65,Credit,123457,,
2022-01-01,123457,International Wire In,Caterpillar,2641.83,Credit,,India,High
2022-01-01,123457,ACH In,Danaher,4968.91,Credit,,,
2022-01-01,123457,ACH Out,Xylem,1138.12,Debit,,,
2022-01-01,123457,International Wire Out,Xylem,9277.75,Credit,,China,Low
2022-01-01,123457,International Wire Out,General Electric,8881.23,Credit,,China,High
2022-01-01,123457,Domestic Wire In,Emerson Electric,6409.7,Credit,,,
2022-01-01,123457,ACH Out,General Electric,331.0,Debit,,,
2022-01-01,123457,Cash In,,6151.46,Credit,,,
2022-01-01,123457,Cash Out,,1731.62,Debit,,,
2022-01-01,123457,Internal Transfer In,,2786.33,Credit,,,
2022-01-01,123457,Cash In,,4978.29,Credit,,,
